"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Acer Gaming Aspire 7 A715-59G-57TU","Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache)","2 khe (Máy nguyên bản 16GB)","NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Độ phủ màu 45% NTSC
Acer ComfyView
Màn hình LCD TFT có đèn nền LED
Góc nhìn rộng lên đến 170 độ
Thiết kế siêu mỏng","Pin Li-ion 3 cell 54,8Wh
Bộ đổi nguồn AC 150W","Windows 11 Home Single Language","Đen","19.990.000₫","5 sao/ (3 đánh giá)",""
"Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7CR","AMD Ryzen 5 7535HS (6 lõi / 12 luồng / Base Clock: 3.3 GHz / Max. Boost Clock: Up to 4.55 GHz / 3MB L2 Cache; 16MB L3 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (Tối đa 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","57Whr 4-cell Li-ion Battery, 135W AC Adapter","Windows 11 Home Single Language","Đen","26.990.000₫","",""
"Laptop Acer Nitro V ANV15-41-R2UP","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.3 GHz, 4.5 GHz, 3 MB L2 cache, up to 16 MB L3 cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 2050 với 4 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2048 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình LCD TFT có đèn nền LED Acer ComfyView
Độ phủ màu 45% NTSC
Độ sáng 300nits","57Whr 4-cell, 135W AC Adapter","Windows 11 Home Single Language","Đen","17.990.000₫","",""
"Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV","Intel Core i3-1305U (5 lõi / 6 luồng, 3.3 GHz, 4.5 GHz, 10 MB Intel Smart Cache)","2 khe (1 x 8GB) Nâng cấp tối đa 64GB","Intel UHD Graphics","256GB PCIe NVMe SSD (nâng cấp tối đa 2TB SSD)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300 nits
Độ phủ màu 45% NTSC","Pin Li-ion 3 cell 58Wh
Bộ chuyển đổi 65W PD Type C","Windows 11 Home SL","Xám","11.490.000₫","5 sao/ (9 đánh giá)",""
"Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ","Intel Core i7-13620H (10 lõi / 16 luồng / Tần số Turbo tối đa của E-core : 3.6 GHz / Tần số Turbo tối đa của P-core : 4.9 GHz / 24 MB Intel Smart Cache)","1 RAM Onboard + 1 khe RAM rời (Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời))","NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","16 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu NTSC 45%
Màn hình LCD TFT đèn nền LED ComfyView của Acer
Góc nhìn rộng lên đến 170 độ
Độ sáng 300nits","53Wh 3-cell Li-ion battery
100W Type C adapter","Windows 11 Home Single Language","Trắng","26.590.000₫","5 sao/ (2 đánh giá)",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-41-R9M1","AMD Ryzen 5 7535HS (6 lõi / 12 luồng, Base Clock: 3.3 GHz, Max. Boost Clock: Up to 4.55 GHz, 3MB L2 Cache; 16MB L3 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","Pin Li-ion 4 cell 57Whr
Bộ đổi nguồn AC 135W","Windows 11 Home Single Language","Đen","23.990.000₫","4 sao/ (1 đánh giá)",""
"Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU","Intel Core i7 Raptor Lake - 1355U (10 lõi / 12 luồng, 1.7GHz, Turbo Boost 5.0 GHz)","2 khe (1 khe 16 GB + 1 khe rời, nâng cấp tối đa 64 GB)","Intel Iris Xe Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","16 inches","1920 x 1200 pixels (FullHD+)","LED Backlit
Acer ComfyView
Độ phủ màu 45% NTSC
Độ sáng 300nits","3-cell Li-ion, 58 Wh","Windows 11 Home SL","Bạc","16.690.000₫","",""
"Laptop Acer Aspire Lite 15 AL15-41P-R3U5 NX.J53SV.001","AMD Ryzen 7 5700U (8 lõi / 16 luồng, 1.8 GHz - 4.3 GHz, Total Cache L2 : 4MB - Total Cache L3 : 8MB)","2 khe (Nâng cấp tối đa 32GB)","AMD Radeon Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu NTSC 45%
Màn hình chống chói
Acer ComfyView","Pin Li-ion 3 cell 58Wh, Bộ chuyển đổi 65W PD Type C","Windows 11 Home Single Language","Bạc","12.990.000₫","5 sao/ (1 đánh giá)",""
"Laptop Acer Nitro V 15 ANV15-41-R1JY","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.30 GHz - 4.50 GHz, 3 MB L2 cache, up to 16 MB L3 cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB (cắm sẵn 16GB))","NVIDIA GeForce RTX 3050 6GB GDDR6 VRAM","512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300 nits
Độ phủ màu NTSC 45%
Acer ComfyView","57Whr 4-cell, Adapter: 135W AC adapter","Windows 11 Home Single Language","Đen","19.490.000₫","5 sao/ (1 đánh giá)",""
"Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7AP","AMD Ryzen 5 7535HS (6 lõi, 12 luồng, 3.3GHz, 4.55GHz, 3MB L2 cache, 16MB L3 cache)","2 khe (2 x 8GB)","NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM","512GB PCIe NVMe SSD, (Nâng cấp tối đa 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu 100% sRGB
Acer ComfyVie
Màn hình LCD TFT có đèn nền LED
Góc nhìn rộng lên đến 170 độ","57Whr 4-cell Adapter: 135W AC adapter","Windows 11 Home Single Language","Đen","17.390.000₫","5 sao/ (4 đánh giá)",""
